Ticket,Authority
"السلام عليكم . سنتر جديد وعروض خياليه تتسبب بزحام خانق من الزبائن . تتفأجاء بطمس الاسعار من بعض المنتجات ؟ لا اعتقد ان ازالة السعر بهذا الشكل صدفة! 
 اتمني من فرع وزارة التجارة فرع",وزارة التجارة
السلام عليكم ورحمة الله وبركاته خوتم مباركه لديا طلب بالفرع الرقمي رقم 1612794 تحويل من موسسة لفرع شركة من امس نرجو منكم الرد على الطلب,وزارة التجارة
لي شحنه شي ان لها استرجاع من شركة ايمايل,الهيئة العامة للنقل
تم تزويدكم برقم الهاتف والإسم حسب طلبكم بالخاص وهذه عملية الشراء والإلغاء وكذلك عملية شراء سابقة وإلغائها كذلك قبل الشحن وإعادة المبلغ مباشرة عند الإلغاء.,وزارة التجارة
السلام عليكم ورحمة الله وبركاته، يا اخوان لي الان شهرين انتظر ارجاع مبلغ من,وزارة التجارة
تم الطلب من موقع,وزارة التجارة
انا طلبت من متجر الالكتروني وصلتني قطعه غير عن الي ابي وقالو مانرجع فلوسك,وزارة التجارة
المفروض استلمها 24 وللحين ماوصلت,وزارة التجارة
"أسوأ شركة في السعودية هي شركة عبد اللطيف جميل
 صار لي أكثر من شهر شاري لاند كلوزر???? 
 ولم أرى السيارة حتى الآن 
 وإحتمال تتأخر لأكثر من ثلاث شهور لما رأيته من شكاوي العملاء الذين سبقوني
 
 هذي مهزله وربي
 دفعت كامل المبلغ
 وحتى الآن لم أرى سيارتي!!",وزارة التجارة
طلبت من هالموقع طلبيتي لها اسبوعين وللحين ما وصلتني ؟؟؟ شوفوا لكم حل معهم,وزارة التجارة
الطلب متاخر حيل وارسل لكم ماتردون وش السالفة,وزارة التجارة
كيف اشتكي على متجر اخذت الفلوس وسحبت تقول تفاهمي مع شركة الشحن وماعندي الا الرقم الضريبي ل المتجر,وزارة التجارة
ايميلهم على حسابهم في التيك توك والحين ادخل الحساب محظور حقهم ماطلع لي الايميل وش اسوي؟,وزارة التجارة
مساء الخير عندي طلبية من,وزارة التجارة
"السلام عليكم ورحمة الله وبركاته عندي في الغرفة التجارية نرجو تحديث بيانات السجل التجاري 1010525758
 موسسسه علي صالح عبدلله الكريديس",وزارة التجارة
شكرا لكم راح يتم التواصل مع بخصوص الشركه الخايسه,وزارة التجارة
مضى اسبوع على طلبكم تزويكم بشكاوي بشكل دقيق ولم تتخذو أي اجراء حتى الآن,وزارة التجارة
"فرصتين متأخرة ولم يتم الإيداع وقت الإستحقاق
 RFLL988
 UYCT719",ساما
"السلام عليكم 
 طلبت من متجر من ?? مارس الى اليوم لم يشحن الطلب والواتس حقه للاسف مهمله كل يومين يرد علي
 
 علما قدمت عليه بلاغ بتطبيق بلاغ تجاري وقبلت البلاغ 
 
 بس للاسف ماعاد يرد علي ابي الغي الطلب او اعرف شي عنه
 
 كيف ارفع عليه بلاغ تاخير
 
 اليوم كلمت ?? يوم",وزارة التجارة
"السلام عليكم 
 ماهي سياسة رد الاموال بعد ارجاع المنتجات للمتجر الالكتروني ؟ لدي مشكلة مع احد المواقع",وزارة التجارة
طلبت طلبيه من نهاية شبعان كل يوم يدق علي مندوب ولا يوصل الطلبيه حقي أرجو منكم الرد وهذا رقم الطبيه حقي 277313281,الهيئة العامة للنقل
112944444 اتصل علي هذا الجوال هل هو تبعكم,وزارة التجارة
بعد مراجعة سياسية الاسترجاع وانها لمده ثلاث ايام تم الطلب منهم وبعدها التجربه فضلت انها تعاد لهم والان اكثر من تسعه ايام لم يسترجع المبلغ ولا يوجود وسيلة تواصل ابد هل هو عقاب منهم بسبب الاسترجاع كرماً,وزارة التجارة
يعني اقدر اطالبهم باسترجاع السلعه المعيبه لو ما ابغى استبدلها ؟,وزارة التجارة
اسوء تعامل واسوء عطور طالب لي اكثر من اسبوع وماانشحنت نهائي ورقمهم الموحد مايردون عليه ارجو وزارة التجاره النظر في هذا الموضوع والحسابات اللي تنزل تحت تغريداتهم كلها حسابات وهميه بس تمدح وتعزز لهم,وزارة التجارة
"قسم بالله قلة حيا
 مكيف طالبه من الأسبوع ماقبل الماضي يوم السبت
 وكاتبين من خمس أيام إلى سبعة أيام والان مر على الطلب 12 يوم ولا تم التوصيل 
 ماينفع معكم إلا بلاغ في وزارة التجارة 
 ولن أرضى بغير التعويض على التأخير هذا",وزارة التجارة
هل يحق لي استرجاع الطلب اذا كان المتجر الالكتروني و من سياسته عدم الاسترجاع ؟ علماً بان الطلب تفصيل وليس على المقاس,وزارة التجارة
"السلام عليكم
 لو فيه متجر طلبت منه والطلب اللي وصلني مو نفس طلبي اللون مختلف وحاولت فيهم يرجعونه لانه غلطهم ومارضيو، اقدر اشتكي عليهم؟",وزارة التجارة
